Date_sale;Region_code;City_code;Article;sale_qty;total_Sum;Manager
20230228;Белгородская область;Белгород;Б0041084;1,0;776,19;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0041887;10,0;8888,97;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0041888;22,0;19520,34;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0042988;1,0;483,87;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0043555;1,0;169,81;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0043573;2,0;1093,99;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0043586;7,0;4516,12;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0043657;2,0;859,01;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0043658;48,0;22557,25;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0043664;10,0;23390,01;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0043684;2,0;55,24;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044404;6,0;5424,48;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044429;360,0;7593,719999999999;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044540;18,0;1211,74;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044541;4,0;379,88;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044542;6,0;434,86;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044544;5,0;829,73;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044545;4,0;841,95;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044546;2,0;672,87;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044547;5,0;343,73;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044552;5,0;1102,32;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044595;40,0;300,22;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044603;66,0;1279,92;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0044688;50,0;1401,62;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0045231;3,0;1556,89;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0045232;3,0;1412,64;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0045363;32,0;13668,24;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0045364;7,0;2992,8199999999997;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0046795;8,0;20742,72;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0046899;7,0;2475,39;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0046916;1,0;428,33;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0047649;23,0;6543,81;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0047785;120,0;96457,22;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048020;12,0;801,75;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048265;7,0;70,1;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048528;2,0;832,36;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048534;6,0;2001,33;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048535;16,0;7314,61;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048537;0,0;0,0;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048539;6,0;3138,33;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048540;2,0;1019,04;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048921;12,0;2689,2;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048927;12,0;11635,51;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0048943;8,0;562,37;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0049096;1,0;113,4;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0049313;2,0;1159,48;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0049645;4,0;129,65;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0050373;5,0;654,02;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0051248;1,0;3715,2;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0051249;1,0;5325,96;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0051583;8,0;23329,92;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0055001;1,0;1054,14;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0055045;2,0;645,0;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0055406;18,0;12100,32;MANAGER_NAME
20230228;Белгородская область;Белгород;Б0057181;2,0;174,84;MANAGER_NAME
20230228;Белгородская область;Воронеж;Б0019812;1,0;445,01;MANAGER_NAME
20230228;Белгородская область;Воронеж;Б0036366;1,0;2384,71;MANAGER_NAME
20230228;Белгородская область;Воронеж;Б0044025;1,0;681,06;MANAGER_NAME
20230228;Белгородская область;Воронеж;Б0044429;305,0;6433,57;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;C0032099;3,0;931,34;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;C0038444;4,0;356,42;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;C0043801;10,0;393,91;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;G0006824;1,0;37,77;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0003650;15,0;153,46;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0005130;10,0;1288,83;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0017426;8,0;1808,46;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0017778;10,0;457,02;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0020597;4,0;264,67;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0020669;2,0;339,21;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0020675;2,0;420,21;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0020712;5,0;926,0;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0027858;5,0;577,57;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0027923;27,0;8013,85;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0027924;7,0;2083,26;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0028375;1,0;386,87;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0034622;1,0;445,47;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0035332;30,0;2908,35;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0035335;4,0;385,38;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0038836;5,0;171,9;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0039056;16,0;10486,96;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0039466;2,0;652,3;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0041245;10,0;1912,69;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0041887;6,0;5333,38;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0041888;0,0;-1110,41;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0043587;2,0;1589,74;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0044025;1,0;681,06;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0044540;11,0;740,49;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0044545;3,0;631,46;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0045233;1,0;570,24;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0045341;2,0;60,89;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0045363;2,0;854,27;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0048274;5,0;93,55;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0048943;10,0;675,55;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0048946;20,0;1320,27;MANAGER_NAME
20230228;Белгородская область;Старый Оскол;Б0051885;1,0;313,2;MANAGER_NAME
20230228;Брянская область;Курск;Б0039056;60,0;39326,11;MANAGER_NAME
20230228;Брянская область;Курск;Б0047012;90,0;7184,17;MANAGER_NAME
20230228;Брянская область;Курск;Б0051846;20,0;55903,2;MANAGER_NAME
20230228;Волгоградская область;Волгоград;Б0038841;10,0;470,7;MANAGER_NAME
20230228;Волгоградская область;Волгоград;Б0041975;2,0;1381,17;MANAGER_NAME
20230228;Волгоградская область;Волгоград;Б0044540;10,0;673,19;MANAGER_NAME
20230228;Волгоградская область;Волгоград;Б0048943;28,0;1968,3;MANAGER_NAME
20230228;Воронежская область;Белгород;C0027364;1,0;48,22;MANAGER_NAME
20230228;Воронежская область;Белгород;C0027368;8,0;378,56;MANAGER_NAME
20230228;Воронежская область;Белгород;C0027369;13,0;283,75;MANAGER_NAME
20230228;Воронежская область;Белгород;C0027370;18,0;769,6;MANAGER_NAME
20230228;Воронежская область;Белгород;C0027378;16,0;680,8199999999999;MANAGER_NAME
20230228;Воронежская область;Белгород;C0031275;1,0;305,62;MANAGER_NAME
20230228;Воронежская область;Белгород;C0032097;1,0;174,52;MANAGER_NAME
20230228;Воронежская область;Белгород;C0034928;6,0;353,44;MANAGER_NAME
20230228;Воронежская область;Белгород;C0038443;5,0;606,96;MANAGER_NAME
20230228;Воронежская область;Белгород;C0038444;2,0;176,72;MANAGER_NAME
20230228;Воронежская область;Белгород;C0038445;6,0;439,2;MANAGER_NAME
20230228;Воронежская область;Белгород;C0038449;2,0;44,48;MANAGER_NAME
20230228;Воронежская область;Белгород;C0038450;3,0;168,71;MANAGER_NAME
20230228;Воронежская область;Белгород;C0038451;13,0;762,97;MANAGER_NAME
20230228;Воронежская область;Белгород;C0041454;1,0;676,56;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043655;2,0;224,62;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043737;3,0;330,3;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043740;1,0;179,99;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043749;2,0;363,33;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043798;1,0;54,4;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043799;3,0;163,03;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043801;13,0;512,09;MANAGER_NAME
20230228;Воронежская область;Белгород;C0043823;8,0;848,06;MANAGER_NAME
20230228;Воронежская область;Белгород;C0045520;4,0;457,68;MANAGER_NAME
20230228;Воронежская область;Белгород;C0045527;3,0;439,55999999999995;MANAGER_NAME
20230228;Воронежская область;Белгород;C0045529;3,0;642,6;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0002909;2,0;439,24;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0002910;2,0;394,9;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0003649;1,0;10,87;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0003650;6,0;61,38;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0004431;2,0;405,74;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0005103;6,0;909,26;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0005120;2,0;230,86;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0005124;1,0;115,77;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0005130;1,0;128,88;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0008207;4,0;643,49;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0015138;4,0;267,48;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0015243;2,0;1245,18;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0016864;1,0;88,13;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0017099;4,0;544,91;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0017422;4,0;659,67;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0017425;7,0;1369,56;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0017426;4,0;904,23;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0017427;2,0;590,94;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0017428;3,0;742,03;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0018946;2,0;66,18;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0018970;1,0;564,57;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019031;2,0;576,0;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019032;4,0;1145,8;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019033;5,0;1730,0700000000002;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019034;4,0;1471,29;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019459;3,0;1220,44;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019461;5,0;2358,67;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019500;2,0;595,51;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019738;5,0;2054,79;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019782;9,0;2280,02;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019809;0,0;0,0;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019810;1,0;553,29;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019811;1,0;316,24;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019812;1,0;445,0;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019837;1,0;246,01;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0019839;1,0;407,27;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020022;1,0;210,14;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020556;2,0;113,02;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020596;3,0;267,98;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020618;2,0;83,83;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020620;1,0;39,51;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020621;1,0;35,55;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020632;2,0;96,76;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020633;11,0;698,27;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020634;2,0;165,6;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020636;4,0;337,52;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020675;1,0;210,1;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0020713;1,0;185,16;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0023144;6,0;155,79;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0025685;2,0;330,98;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0026954;3,0;2578,4700000000003;MANAGER_NAME
20230228;Воронежская область;Белгород;Б0026955;14,0;12011,06;MANAGER_NAME
