Unnamed: 0;Аналитика;Код;Артикул;Количество;Себестоимость
46.0;ЭРА мультиметр цифровой M182 879168;879168.0;lБ0055799_;1;254.4
47.0;ЭРА ночник св/д детский NN-608 0.5W пластик, зеленый, 220V, выкл. NN-608-SW-GR 575214;575214.0;lБ0019100;1;120.93
48.0;ЭРА ночник св/д детский NN-618 0.5W RGB пластик, белый, 220V, фотосенсор NN-618-LS-W 575216;575216.0;lБ0019102;1;215.78
49.0;ЭРА прожектор св/д 30W (2400lm) 6500K 6K LPR-023-0-65K-030 103х99х23,5 4628 804918;804918.0;lБ0052023;1;192.69
50.0;ЭРА св-к антимоскитный S-20м2 5W(100lm) UV акк.2Ah, USB крючок IP60 ERAMF-017976 703712;703712.0;lБ0038598;2;49.61
51.0;ЭРА св-к накл. повор. спот GX53 MAX12W 220V 82х80мм алюминий белый/белый OL12 GX53 SWH 4159 789916;789916.0;lБ0049035;1;355.74
52.0;ЭРА св-к накл. повор. спот GX53 MAX12W 220V 82х80мм алюминий черный/черный OL12 GX53 SBK 4135 789917;789917.0;lБ0049034;4;1581.22
53.0;ЭРА св-к св/д линейный 36W(2400lm) 4000К 4K матов/сталь 1200х75х25 ЛПО/ДПО SPO-5-40-4K-M (F) 2259 676711;676711.0;lБ0032478;1;354.59
54.0;ЭРА св-к св/д универс. 36W(3600lm) 6500K 595x595x19 призма драйв EMC IP40 4шт 3г. SPO-6-36-6K-P 5970 688650;688650.0;Б0039056;16;7550.05
55.0;ЭРА св-к трековый на шинопровод под лампу GU10 TR10 BK 1-фаз. квадр. 60х60х130 черный алюм. 1010 804932;804932.0;lБ0044262;5;1185.5
56.0;ЭРА сет. удл. ПВС 3х1 3роз. 3м 16А/3500Вт земля (корпус негорючий PP) U-3e-3m (РФ) 3664 650618;650618.0;lБ0028370;1;274.87
57.0;ЭРА сет. удл.-фильтр USF ПВС 3х0.75 5 роз+2USB 1.5м 10А 2.1А/5В (черный, PP) USF-5es-1,5m-USB-B 654647;654647.0;lБ0019036;1;571.21
58.0;ЭРА Стабилизатор напряжения переносной, цифровой дисплей, СНПТ-5000-РЦ  100-260В/220В, 5кВА КПД 95%, 718569;718569.0;lБ0035297;1;10428.54
59.0;ЭРА стандарт GX53 15W(1200Lm)  6000K 6K 29х75 9058 763748;763748.0;lБ0048021;2;166.36
60.0;Лампа св/д ЭРА стандарт GX53 7W(560lm) 4000K 4K 8337 582796;582796.0;lБ0017232;2;97.47
61.0;ЭРА стандарт MR16 GU5.3 220V 12W(860lm) 4000K 4K 50х48 LED MR16-12W-840-GU5.3 7514 710236;710236.0;lБ0040888;3;188.51
62.0;ЭРА термоусадка трубка клеевая ТТКнг 6,4/2,0 черная 1м 4034 742507;742507.0;lБ0045213;10;385
63.0;ЭРА термоусадка трубка клеевая ТТКнг 9,5/3,0 черная 1м 4065 742508;742508.0;lБ0045214;10;553.49
64.0;ЭРА Труба гофр. ПВХ (серый) d20мм с зондом легкая (бухта 10м, цена за 1м) GOFR-20-10-PVС 3596 686399;686399.0;lБ0036988;40;518.17
65.0;ЭРА Труба гофр. ПВХ (серый) d25мм с зонд. легкая (бухта 10м, цена за 1м) GOFR-25-10-PVС 8472 715186;715186.0;lБ0042997;40;726.34
66.0;ЭРА Труба гофр. ПНД (черный) d20мм с зонд. легкая 10м ЭРА GOFR-20-10-HD 145 715190;715190.0;lБ0043776;40;636.48
67.0;ЭРА Труба гофрированная ПНД (черный) d25мм с зонд. легкая 10м 152 715192;715192.0;lБ0043777;70;1485.56
68.0;ЭРА фонарь автомобильный AA-801 15W (950lm), COB+LED, power bank, аккум., аварийный знак 9943 808320;808320.0;lБ0052742;1;861
69.0;ЭРА фонарь кемпинговый KA-801 Гном 4W 490lm аккум. 1700mAh подвес + диммер IP40  6307 817575;817575.0;lБ0054040;1;543.56
70.0;"ЭРА фонарь кемпинговый KB-501 ""НЛО-24"" (3xR6) 1,5W(150lm) 24св/д бел./пластик магнит, подвес+карабин 641648";641648.0;lБ0029177;2;421.83
71.0;"ЭРА фонарь кемпинговый KB-601 ""НЛО-48"" (3xR6) 3W(300lm) 48св/д, бел./пластик, магнит, подвес+карабин 641652";641652.0;lБ0029178;4;978.68
72.0;ЭРА фонарь налобный GB-602 (7xLED, 3xAAA, 4 реж., черный, бл) 649272;649272.0;lБ0031382;1;153.38
73.0;ЭРА фонарь пушлайт кликер SB-606 COB 250lm 3xAAA, скотч BL 689802;689802.0;lБ0033747;3;356.8
74.0;ЭРА фонарь рабочий RB-701 Практик 5W(110lm) COB (3хR6) крючок, магнит, BL 615480;615480.0;lБ0027820;2;422.32
75.0;ЭРА фонарь ручной UB-604  5W(415lm) 3хAAA алюм., пластик 58227 849043;849043.0;lБ0058227;1;308.08
76.0;ЭРА шнур питания с литой вилкой ПВС 2x0.75 1.5м 6А белый UX-2x0.75-1.5m (РФ) 1906 767707;767707.0;lБ0048680;3;236.06
77.0;ЭРА Эксперт роз. ОУ 2 мест. 16А, IP54, земля, шт. крышка, серый, 11-2404-03, Б0020719 659253;659253.0;lБ0020719;1;369.1
;Регион: Екатеринбург;;;162898;9661817.82
;Батареечка;;;353;27294.33
78.0;Kodak Бритвенная система MAX Prem Razor 5 Starter мужская, 5 лезвий нескольз.ручка 3556 828997;828997.0;lБ0056110;3;536.89
